# tcp-scan-services -- TCP port number to service name map file for tcp-scan
#
# This file contains the TCP port number to service name mapping file that
# is used by tcp-scan to display TCP service names.
#
# The format of this file is the same as that used for the services file used
# by Unix, Linux and Windows, which is typically located in /etc/services or
# %WINDIR%\system32\drivers\etc\services.
#
webster	765/tcp
phonebook	767/tcp
vid	769/tcp
cadlock	770/tcp
rtip	771/tcp
cycleserv2	772/tcp
submit	773/tcp
rpasswd	774/tcp
entomb	775/tcp
wpages	776/tcp
multiling-http	777/tcp
wpgs	780/tcp
hp-collector	781/tcp
hp-managed-node	782/tcp
hp-alarm-mgr	783/tcp
concert	786/tcp
qsc	787/tcp
controlit	799/tcp
mdbs_daemon	800/tcp
device	801/tcp
sprp	802/tcp
ccproxy-http	808/tcp
fcp-udp	810/tcp
itm-mcell-s	828/tcp
pkix-3-ca-ra	829/tcp
dhcp-failover2	847/tcp
gdoi	848/tcp
iscsi	860/tcp
supfilesrv	871/tcp
rsync	873/tcp
iclcnet-locate	886/tcp
iclcnet_svinfo	887/tcp
accessbuilder	888/tcp
sun-manageconsole	898/tcp
omginitialrefs	900/tcp
smpnameres	901/tcp
ideafarm-chat	902/tcp
ideafarm-catch	903/tcp
xact-backup	911/tcp
apex-mesh	912/tcp
apex-edge	913/tcp
oftep-rpc	950/tcp
rndc	953/tcp
securenetpro-sensor	975/tcp
ftps-data	989/tcp
ftps	990/tcp
nas	991/tcp
telnets	992/tcp
imaps	993/tcp
ircs	994/tcp
pop3s	995/tcp
vsinet	996/tcp
maitrd	997/tcp
busboy	998/tcp
garcon	999/tcp
cadlock2	1000/tcp
windows-icfw	1002/tcp
ufsd	1008/tcp
surf	1010/tcp
netvenuechat	1023/tcp
kdm	1024/tcp
blackjack	1025/tcp
cap	1026/tcp
exosee	1027/tcp
solid-mux	1029/tcp
iad1	1030/tcp
iad2	1031/tcp
iad3	1032/tcp
netinfo-local	1033/tcp
activesync	1034/tcp
mxxrlogin	1035/tcp
nsstp	1036/tcp
ams	1037/tcp
mtqp	1038/tcp
sbl	1039/tcp
netarx	1040/tcp
danf-ak2	1041/tcp
afrog	1042/tcp
boinc-client	1043/tcp
dcutility	1044/tcp
fpitp	1045/tcp
wfremotertm	1046/tcp
neod1	1047/tcp
neod2	1048/tcp
td-postman	1049/tcp
cma	1050/tcp
optima-vnet	1051/tcp
ddt	1052/tcp
remote-as	1053/tcp
brvread	1054/tcp
ansyslmd	1055/tcp
vfo	1056/tcp
startron	1057/tcp
nim	1058/tcp
nimreg	1059/tcp
polestar	1060/tcp
kiosk	1061/tcp
veracity	1062/tcp
kyoceranetdev	1063/tcp
jstel	1064/tcp
syscomlan	1065/tcp
fpo-fns	1066/tcp
instl_boots	1067/tcp
instl_bootc	1068/tcp
cognex-insight	1069/tcp
gmrupdateserv	1070/tcp
bsquare-voip	1071/tcp
cardax	1072/tcp
bridgecontrol	1073/tcp
fastechnologlm	1074/tcp
rdrmshc	1075/tcp
dab-sti-c	1076/tcp
imgames	1077/tcp
avocent-proxy	1078/tcp
asprovatalk	1079/tcp
socks	1080/tcp
pvuniwien	1081/tcp
amt-esd-prot	1082/tcp
ansoft-lm-1	1083/tcp
ansoft-lm-2	1084/tcp
webobjects	1085/tcp
cplscrambler-lg	1086/tcp
cplscrambler-in	1087/tcp
cplscrambler-al	1088/tcp
ff-annunc	1089/tcp
ff-fms	1090/tcp
ff-sm	1091/tcp
obrpd	1092/tcp
proofd	1093/tcp
rootd	1094/tcp
nicelink	1095/tcp
cnrprotocol	1096/tcp
sunclustermgr	1097/tcp
rmiactivation	1098/tcp
rmiregistry	1099/tcp
mctp	1100/tcp
pt2-discover	1101/tcp
adobeserver-1	1102/tcp
adobeserver-2	1103/tcp
xrl	1104/tcp
ftranhc	1105/tcp
isoipsigport-1	1106/tcp
isoipsigport-2	1107/tcp
ratio-adp	1108/tcp
kpop	1109/tcp
nfsd-status	1110/tcp
lmsocialserver	1111/tcp
icp	1112/tcp
mini-sql	1114/tcp
ardus-trns	1115/tcp
ardus-cntl	1116/tcp
ardus-mtrns	1117/tcp
sacred	1118/tcp
rmpp	1121/tcp
availant-mgr	1122/tcp
murray	1123/tcp
hpvmmcontrol	1124/tcp
hpvmmagent	1125/tcp
hpvmmdata	1126/tcp
supfiledbg	1127/tcp
cce3x	1139/tcp
nfa	1155/tcp
iascontrol-oms	1156/tcp
iascontrol	1157/tcp
dbcontrol-oms	1158/tcp
oracle-oms	1159/tcp
health-polling	1161/tcp
health-trap	1162/tcp
sddp	1163/tcp
qsm-proxy	1164/tcp
qsm-gui	1165/tcp
qsm-remote	1166/tcp
vchat	1168/tcp
tripwire	1169/tcp
atc-lm	1170/tcp
atc-appserver	1171/tcp
dnap	1172/tcp
d-cinema-rrp	1173/tcp
fnet-remote-ui	1174/tcp
dossier	1175/tcp
indigo-server	1176/tcp
dkmessenger	1177/tcp
sgi-storman	1178/tcp
b2n	1179/tcp
mc-client	1180/tcp
3comnetman	1181/tcp
accelenet	1182/tcp
llsurfup-http	1183/tcp
llsurfup-https	1184/tcp
catchpole	1185/tcp
mysql-cluster	1186/tcp
alias	1187/tcp
hp-webadmin	1188/tcp
unet	1189/tcp
commlinx-avl	1190/tcp
gpfs	1191/tcp
caids-sensor	1192/tcp
fiveacross	1193/tcp
openvpn	1194/tcp
rsf-1	1195/tcp
dmidi	1199/tcp
scol	1200/tcp
nucleus-sand	1201/tcp
caiccipc	1202/tcp
ssslic-mgr	1203/tcp
ssslog-mgr	1204/tcp
accord-mgc	1205/tcp
anthony-data	1206/tcp
metasage	1207/tcp
seagull-ais	1208/tcp
ipcd3	1209/tcp
eoss	1210/tcp
groove-dpp	1211/tcp
lupa	1212/tcp
mpc-lifenet	1213/tcp
kazaa	1214/tcp
scanstat-1	1215/tcp
etebac5	1216/tcp
hpss-ndapi	1217/tcp
aeroflight-ads	1218/tcp
aeroflight-ret	1219/tcp
qt-serveradmin	1220/tcp
sweetware-apps	1221/tcp
nerv	1222/tcp
tgp	1223/tcp
vpnz	1224/tcp
slinkysearch	1225/tcp
stgxfws	1226/tcp
dns2go	1227/tcp
florence	1228/tcp
novell-zfs	1229/tcp
periscope	1230/tcp
menandmice-lpm	1231/tcp
univ-appserver	1233/tcp
search-agent	1234/tcp
mosaicsyssvc1	1235/tcp
bvcontrol	1236/tcp
tsdos390	1237/tcp
hacl-qs	1238/tcp
nmsd	1239/tcp
instantia	1240/tcp
nessus	1241/tcp
nmasoverip	1242/tcp
serialgateway	1243/tcp
isbconference1	1244/tcp
isbconference2	1245/tcp
payrouter	1246/tcp
visionpyramid	1247/tcp
hermes	1248/tcp
mesavistaco	1249/tcp
swldy-sias	1250/tcp
servergraph	1251/tcp
bspne-pcc	1252/tcp
q55-pcc	1253/tcp
de-noc	1254/tcp
de-cache-query	1255/tcp
de-server	1256/tcp
shockwave2	1257/tcp
opennl	1258/tcp
opennl-voice	1259/tcp
ibm-ssd	1260/tcp
mpshrsv	1261/tcp
qnts-orb	1262/tcp
dka	1263/tcp
prat	1264/tcp
dssiapi	1265/tcp
dellpwrappks	1266/tcp
epc	1267/tcp
propel-msgsys	1268/tcp
watilapp	1269/tcp
opsmgr	1270/tcp
excw	1271/tcp
cspmlockmgr	1272/tcp
emc-gateway	1273/tcp
t1distproc	1274/tcp
ivcollector	1275/tcp
ivmanager	1276/tcp
miva-mqs	1277/tcp
dellwebadmin-1	1278/tcp
dellwebadmin-2	1279/tcp
pictrography	1280/tcp
healthd	1281/tcp
emperion	1282/tcp
productinfo	1283/tcp
iee-qfx	1284/tcp
neoiface	1285/tcp
netuitive	1286/tcp
navbuddy	1288/tcp
jwalkserver	1289/tcp
winjaserver	1290/tcp
seagulllms	1291/tcp
dsdn	1292/tcp
pkt-krb-ipsec	1293/tcp
cmmdriver	1294/tcp
ehtp	1295/tcp
dproxy	1296/tcp
sdproxy	1297/tcp
lpcp	1298/tcp
hp-sci	1299/tcp
h323hostcallsc	1300/tcp
ci3-software-1	1301/tcp
ci3-software-2	1302/tcp
sftsrv	1303/tcp
boomerang	1304/tcp
pe-mike	1305/tcp
re-conn-proto	1306/tcp
pacmand	1307/tcp
odsi	1308/tcp
jtag-server	1309/tcp
husky	1310/tcp
rxmon	1311/tcp
sti-envision	1312/tcp
bmc_patroldb	1313/tcp
pdps	1314/tcp
els	1315/tcp
exbit-escp	1316/tcp
vrts-ipcserver	1317/tcp
krb5gatekeeper	1318/tcp
panja-icsp	1319/tcp
panja-axbnet	1320/tcp
pip	1321/tcp
novation	1322/tcp
brcd	1323/tcp
delta-mcp	1324/tcp
dx-instrument	1325/tcp
wimsic	1326/tcp
ultrex	1327/tcp
ewall	1328/tcp
netdb-export	1329/tcp
streetperfect	1330/tcp
intersan	1331/tcp
pcia-rxp-b	1332/tcp
passwrd-policy	1333/tcp
writesrv	1334/tcp
digital-notary	1335/tcp
ischat	1336/tcp
menandmice-dns	1337/tcp
wmc-log-svc	1338/tcp
