Stage;TLD;Flags;Registry;"Registry Group";Backend;Start;End;Description
SR;xn--q9jyb4c;;"Charleston Road Registry Inc.";;"Google Inc.";2013-12-09T00:00:00Z;2014-02-14T00:00:00Z;
SR;uno;;"Dot Latin LLC";;"Neustar Inc.";2013-12-09T15:00:00Z;2014-02-07T15:00:00Z;
SR;construction;;"Fox Dynamite, LLC";"Donuts Inc.";"Rightside Registry";2013-12-10T16:00:00Z;2014-02-08T15:59:59Z;
SR;contractors;;"Magic Woods, LLC";"Donuts Inc.";"Rightside Registry";2013-12-10T16:00:00Z;2014-02-08T15:59:59Z;
SR;directory;;"Extra Madison, LLC";"Donuts Inc.";"Rightside Registry";2013-12-10T16:00:00Z;2014-02-08T15:59:59Z;
SR;kitchen;;"Just Goodbye, LLC";"Donuts Inc.";"Rightside Registry";2013-12-10T16:00:00Z;2014-02-08T15:59:59Z;
SR;land;;"Pine Moon, LLC";"Donuts Inc.";"Rightside Registry";2013-12-10T16:00:00Z;2014-02-08T15:59:59Z;
SR;technology;;"Auburn Falls, LLC";"Donuts Inc.";"Rightside Registry";2013-12-10T16:00:00Z;2014-02-08T15:59:59Z;
SR;today;;"Pearl Woods, LLC";"Donuts Inc.";"Rightside Registry";2013-12-10T16:00:00Z;2014-02-08T15:59:59Z;
SR;sexy;;"Uniregistry, Corp.";;"Uniregistry Inc.";2013-12-11T14:00:00Z;2014-02-09T14:00:00Z;
SR;tattoo;;"Uniregistry, Corp.";;"Uniregistry Inc.";2013-12-11T14:00:00Z;2014-02-09T14:00:00Z;
SR;diamonds;;"John Edge, LLC";"Donuts Inc.";"Rightside Registry";2013-12-17T16:00:00Z;2014-02-15T15:59:59Z;
SR;enterprises;;"Snow Oaks, LLC";"Donuts Inc.";"Rightside Registry";2013-12-17T16:00:00Z;2014-02-15T15:59:59Z;
SR;tips;;"Corn Willow, LLC";"Donuts Inc.";"Rightside Registry";2013-12-17T16:00:00Z;2014-02-15T15:59:59Z;
SR;voyage;;"Ruby House, LLC";"Donuts Inc.";"Rightside Registry";2013-12-17T16:00:00Z;2014-02-15T15:59:59Z;
SR;careers;;"Wild Corner, LLC";"Donuts Inc.";"Rightside Registry";2013-12-24T16:00:00Z;2014-02-22T15:59:59Z;
SR;photos;;"Sea Corner, LLC";"Donuts Inc.";"Rightside Registry";2013-12-24T16:00:00Z;2014-02-22T15:59:59Z;
SR;recipes;;"Grand Island, LLC";"Donuts Inc.";"Rightside Registry";2013-12-24T16:00:00Z;2014-02-22T15:59:59Z;
SR;shoes;;"Binky Galley, LLC";"Donuts Inc.";"Rightside Registry";2013-12-24T16:00:00Z;2014-02-22T15:59:59Z;
SR;cab;;"Half Sunset, LLC";"Donuts Inc.";"Rightside Registry";2013-12-31T16:00:00Z;2014-03-01T15:59:59Z;
SR;company;;"Silver Avenue, LLC";"Donuts Inc.";"Rightside Registry";2013-12-31T16:00:00Z;2014-03-08T15:59:59Z;
SR;domains;;"Sugar Cross, LLC";"Donuts Inc.";"Rightside Registry";2013-12-31T16:00:00Z;2014-03-01T15:59:59Z;
SR;limo;;"Hidden Frostbite, LLC";"Donuts Inc.";"Rightside Registry";2013-12-31T16:00:00Z;2014-03-01T15:59:59Z;
LR;xn--ngbc5azd;;"International Domain Registry Pty. Ltd.";;"ARI Registry Services";2014-01-02T00:00:00Z;2014-01-29T07:00:00Z;
SR;academy;;"Half Oaks, LLC";"Donuts Inc.";"Rightside Registry";2014-01-07T16:00:00Z;2014-03-08T15:59:59Z;
