name,repository
ruboty,https://github.com/r7kamura/ruboty
rabl,https://github.com/nesquena/rabl
refinerycms,https://github.com/refinery/refinerycms
tinymce-rails,https://github.com/spohlenz/tinymce-rails
foreigner,https://github.com/matthuhiggins/foreigner
koala,https://github.com/arsduo/koala
bunny,https://github.com/ruby-amqp/bunny
moneta,https://github.com/minad/moneta
github_changelog_generator,https://github.com/skywinder/github-changelog-generator
mock_redis,https://github.com/brigade/mock_redis
polyglot,https://gitlab.com/nico037/alamud
polyamorous,https://github.com/activerecord-hackery/polyamorous
formtastic,https://github.com/justinfrench/formtastic
roo,https://github.com/roo-rb/roo
groupdate,https://github.com/ankane/groupdate
fog-core,https://github.com/fog/fog-core
rubycritic,https://github.com/whitesmith/rubycritic
rubocop-rspec,https://github.com/backus/rubocop-rspec
curb,https://github.com/taf2/curb
rack-contrib,https://github.com/rack/rack-contrib
passenger,https://github.com/phusion/passenger
logstash-event,https://github.com/elastic/logstash
xcpretty,https://github.com/supermarin/xcpretty
hamster,https://github.com/hamstergem/hamster
logstash-devutils,https://github.com/elastic/logstash-devutils
statsd-ruby,https://github.com/reinh/statsd
searchkick,https://github.com/ankane/searchkick
bullet,https://github.com/flyerhzm/bullet
headless,https://github.com/leonid-shevtsov/headless
maruku,https://github.com/bhollis/maruku
figaro,https://github.com/laserlemon/figaro
activerecord-import,https://github.com/zdennis/activerecord-import
asciidoctor,https://github.com/asciidoctor/asciidoctor
ruby-graphviz,https://github.com/glejeune/Ruby-Graphviz
configatron,https://github.com/markbates/configatron
premailer-rails,https://github.com/fphilipe/premailer-rails
rsolr,https://github.com/rsolr/rsolr
breadcrumbs_on_rails,https://github.com/weppos/breadcrumbs_on_rails
fastimage,https://github.com/sdsykes/fastimage
zurb-foundation,https://github.com/zurb/foundation-sites
bubble-wrap,https://github.com/rubymotion/BubbleWrap
progressbar,https://github.com/peleteiro/progressbar
inherited_resources,https://github.com/josevalim/inherited_resources
savon,https://github.com/savonrb/savon
claide,https://github.com/CocoaPods/CLAide
exception_notification,https://github.com/smartinez87/exception_notification
elasticsearch,https://github.com/elastic/elasticsearch-ruby
roda,https://github.com/jeremyevans/roda
ipaddress,https://github.com/ipaddress-gem/ipaddress
cinch,https://github.com/cinchrb/cinch
minitest-rails,https://github.com/blowmage/minitest-rails
jasmine-core,https://github.com/jasmine/jasmine
pusher,https://github.com/pusher/pusher-http-ruby
jeweler,https://github.com/technicalpickles/jeweler
ruby-progressbar,https://github.com/jfelchner/ruby-progressbar
unicode-display_width,https://github.com/janlelis/unicode-display_width
pg,https://bitbucket.org/ged/ruby-pg
braintree,https://github.com/braintree/braintree_ruby
spree_frontend,https://github.com/spree/spree
ripl,https://github.com/cldwalker/ripl
i18n-js,https://github.com/fnando/i18n-js
ffi-rzmq,https://github.com/chuckremes/ffi-rzmq
rspec-support,https://github.com/rspec/rspec-support
geokit,https://github.com/geokit/geokit
codecov,https://github.com/codecov/codecov-ruby
stomp,https://github.com/stompgem/stomp
overcommit,https://github.com/brigade/overcommit
fivemat,https://github.com/tpope/fivemat
cocoapods-core,https://github.com/CocoaPods/CocoaPods
heroku-api,https://github.com/heroku/heroku.rb
plist,https://github.com/bleything/plist
devise-i18n,https://github.com/tigrish/devise-i18n
her,https://github.com/remiprev/her
netrc,https://github.com/heroku/netrc
protected_attributes,https://github.com/rails/protected_attributes
logging,https://github.com/TwP/logging
nestful,https://gitlab.com/don_oles/jira-license-gadget
unf,https://github.com/knu/ruby-unf
axlsx,https://github.com/randym/axlsx
pronto,https://github.com/mmozuras/pronto
has_scope,https://github.com/plataformatec/has_scope
sentry-raven,https://github.com/getsentry/raven-ruby
middleman-livereload,https://github.com/middleman/middleman-livereload
